,Real,Predicted Rent
2017-04,1373.0,1351.0505
2017-05,1400.0,1353.1252
2017-06,1450.0,1356.547
2017-07,1450.0,1359.0447
2017-08,1430.0,1360.5515
2017-09,1399.0,1360.8489
2017-10,1375.0,1361.284
2017-11,1375.0,1362.93
2017-12,1399.0,1365.2268
2018-01,1400.0,1367.6183
2018-02,1400.0,1369.5591
2018-03,1415.0,1371.1545
2018-04,1460.0000000000002,1372.5966
2018-05,1489.0,1373.7991
2018-06,1497.0,1374.4673
2018-07,1474.9999999999998,1376.1082
2018-08,1479.0,1379.4915
2018-09,1474.9999999999998,1383.2018
2018-10,1479.0,1387.2906
2018-11,1495.0,1388.729
2018-12,1500.0,1390.9257
2019-01,1490.5,1391.1067
2019-02,1500.0,1393.1683
2019-03,1575.0,1395.4923
2019-04,1579.0000000000002,1399.2656
2019-05,1598.9999999999998,1400.8082
2019-06,1629.0,1402.0284
2019-07,1644.0,1402.4694
2019-08,1635.0,1403.3054
2019-09,1624.9999999999998,1404.3942
2019-10,1610.0000000000002,1405.3168
2019-11,1600.0000000000002,1407.6241
2019-12,1600.0000000000002,1409.033
